id,inventar_nr,material,wasserzeichen,hoehe,breite,bezeichnungen,zeit,jahr,beschreibung,kommentar,thementexte,literatur,index,index_ids,zusammenhang
88367,"GK II (12) IX-B-2",Vergépapier,"""VanderLey""",3700,2290,"""Denn ich bin Hildiridur deine Mutter, des starken Hugurs treues Weib"" (identische Bez. beider Szenen, wahrscheinlich von der Hand Friedrich Wilhelms).",1813/1815,1814,"Die Seite ist in zwei formal sehr ähnliche Szenen aufgeteilt. In einer angedeuteten gotischen, zur Landschaft hin geöffneten Halle agieren drei Männer in Ritterrüstungen und eine Frau in langem hellem Kleid mit Schleier. Otto von Trautwangen greift nach dem Arm seiner Mutter, die beiden anderen Ritter, Arinbiörn und Herdeegen, weichen erstaunt zurück. Im Hintergrund ist eine bergige mondbeschienene Landschaft wiedergegeben.","Die kompositorisch nahezu identischen Zeichnungen stellen eine Szene aus Friedrich de La Motte Fouqués erstem Ritterroman, dem 1813 in Nürnberg erschienenen ""Zauberring"" [?] dar. Diese Sammlung nordischer und deutscher Heldengeschichten berichtet von den Abenteuern des jungen deutschen Ritters Otto von Trautwangen. Diese Figur mochte dem jungen Kronprinzen zur Identifikation gedient haben. Nicht nur, dass der junge Ritter sich heldenhaft für das christlich Gute eingesetzt hat, er hat auch im Laufe des hier skizzierten Abenteuers seine Mutter wiedergefunden. Friedrich Wilhelm hatte drei Jahre zuvor die eigene geliebte Mutter verloren. Gerade das Motiv des Wiedererkennens zwischen Mutter und Sohn scheint den Kronprinzen besonders fasziniert zu haben. Vgl. GK II (12) IX-B-72 und GK II (12) IX-B-109. Zudem ist 1813 das Jahr, in dem Friedrich Wilhelm mit dem Vater in die Befreiungskriege gegen Frankreich gezogen ist, die ihm nach eigener Aussage wie ein ritterlicher Kreuzzug vorkamen. Die Verwendung gotischer Architektur für eine Geschichte, die im 12. Jahrhundert – der Epoche der Spätromanik – spielt, zeigt, dass zu Beginn des 19. Jahrhunderts die Zeit der Gotik noch nicht so klar umrissen war. (C. H.)","Friedrich de la Motte Fouqué","Hasenclever, Catharina: Gotisches Mittelalter und Gottesgnadentum in den Zeichnungen Friedrich Wilhelms IV. Herrschaftslegitimierung zwischen Revolution und Restauration, Berlin 2005 (Quellen und Forschungen zur brandenburgischen und preußischen Geschichte, 30)., S. 56 f.","sachlich: Figurendarstellung: profan: Ritter; sachlich: Literaturadaption: Fouqué: Zauberring: Arinbiörn; sachlich: Literaturadaption: Fouqué: Zauberring: Herdeegen; sachlich: Literaturadaption: Fouqué: Zauberring: Hildiridur; sachlich: Literaturadaption: Fouqué: Zauberring: Hugur; sachlich: Literaturadaption: Fouqué: Zauberring: Otto von Trautwangen","733; 817; 821; 822; 823; 824","89115; 88417; 89119"
88368,"GK II (12) IX-B-4",Velinpapier,,3380,2090,"Spätere Bezeichnung von Johannes Sievers.","um 1825",1825,"Auf der unteren Seitenhälfte sind ein Ritter in Rüstung und ein junges Mädchen dargestellt, die an einem Baumstamm lehnen. Der Stamm trägt in einem Herz eingeschrieben die Initialen ""L"" und ""F. O."". – Auf der oberen Seitenhälfte, um 180° gedreht, ein behelmter Kopf und ein angedeuteter Frauenkopf.","Mit ""F.O."" dürfte – wie bereits Sievers vermutete – Prinz Friedrich der Niederlande gemeint sein, der in der Familie kurz Fritz Oranien genannt wurde. Er heirate 1825 Luise von Preußen. Das ""L"" steht entsprechend für Luise. Dieser Interpretation folgend, hat der Kronprinz, wie er es häufig tat, die Ritterzeit mit der preußischen Gegenwart verbunden, denn das Paar hatte eine enge freundschaftliche Verbindung zum Kronprinzenpaar. Die beiden Köpfe oben auf der Seite könnten Vorzeichnungen zu der Szene am Baum sein. Die Hochzeit zwischen Friedrich der Niederlande und Luise legt eine Datierung der Seite um 1825 nahe. Die vorgeschlagene Deutung des ""F.O."" als die Initialen des Prinzen Friedrich von Preußen und des ""L"" als Initial seiner Gattin Wilhelmine Luise (Hasenclever 2005/1, S. 132) lässt sich demzufolge nicht aufrecht erhalten. (J. M.)",,"Hasenclever, Catharina: Gotisches Mittelalter und Gottesgnadentum in den Zeichnungen Friedrich Wilhelms IV. Herrschaftslegitimierung zwischen Revolution und Restauration, Berlin 2005 (Quellen und Forschungen zur brandenburgischen und preußischen Geschichte, 30)., S. 132. 
""Unglaublich ist sein Genie fürs Zeichnen"". König Friedrich Wilhelm IV. von Preußen (1795-1861) zum 150. Todestag, hrsg. v. Jörg Meiner, Ausstellung, Potsdam, SPSG, 2011, Potsdam, 2011., S. 118, Kat. Nr. IV. 4","sachlich: Figurendarstellung: profan: Kopf: weiblich; sachlich: Figurendarstellung: profan: Ritter","725; 733",
88369,"GK II (12) II-1-Cg-5",Vergépapier,,2170,3540,,"Ende 1825/Anfang 1826",1825,"Zentralperspektivische Ansicht und darunter der wohl zugehörige Grundriss eines gotisierenden Gebäudes mit großem Turm in der Mitte. – O. r. eine Perspektive der Nordwestseite von Charlottenhof mit der aufgeböschten Terrasse auf der Ostseite und die Ansicht der Westseite. Im Hintergrund Gehölzgruppen. Darunter Aufriss der Westfassade des Schlosses. Dargestellt ist ein neunachsiger Bau mit Souterrain und Hauptgeschoss sowie einer Attika. Die Gebäude- und Portikusecken werden durch Schalen auf der Attika bekrönt. Die Mitte des Gebäudes ist durch einen Portikus betont. Dem erhöhten und mit einem flachen Satteldach gestalteten Portikus ist eine Treppe in Höhe des Souterrains vorgelagert. Die seitlichen Treppenwangen werden in der Höhe des unteren Geschosses fortgeführt. Die Terrasse auf der Ostseite ist mit ihrem östlichen Abschluss, der Exedra und der auf der Südseite angelegten Pergola dargestellt. – U. r. und o. r. Schnörkel.","Die Ansicht der Westfassade des Schlosses Charlottenhof [?] bezieht sich auf die perspektivische Ansicht. Der Risalit mit dem Eingang auf der Westseite des Gebäudes ist so nicht ausgeführt worden. Der halbrunde Anbau auf der Nordseite ist nicht skizziert, deshalb sind die Zeichnungen einer relativ frühen Entwurfsphase (um 1826) zuzuordnen. (A. A.) – Die Skizze des großen gotisierenden Gebäudes orientiert sich an Bauten wie dem Brüsseler Rathaus, so dass sein ihm vom Kronprinzen zugedachter Zweck wohl ein ähnlich administrativer gewesen sein dürfte. Vgl. ähnliche Skizzen auf GK II (12) II-1-Cg-25 und GK II (12) V-1-A-20 Rs (auf 1842 datiert). (J. M.)",Charlottenhof,,"sachlich: Architektur: Profanbauten: Rathaus; sachlich: Ornament: Schnörkel","555; 863","90436; 89221"
88371,"GK II (12) IX-B-5",Vergépapier,"""IW Ebart"" und Fragment: ""A",2100,3450,,"um 1816",1816,"Eine skizzenhaft angelegte Szene in angedeuteter Landschaft wird dominiert von einem langhaarigen, bärtigen, männlichen Wesen mit weit ausgebreiteten Armen. Aus seinen Armen fließt das Wasser, das sich im Bildvordergrund zu wilden Fluten auftürmt. Von diesen Fluten wurde ein Pferdewagen mit zwei Reisenden zerschmettert, die nun hilflos im Wasser treiben. Rechts im Hintergrund beobachtet eine Reiterin das Geschehen.","Die Zeichnung zeigt eine Szene aus Fouqués Roman ""Undine"" [?]. Dargestellt ist der dramatische Untergang Huldbrands und seiner zweiten Frau Berthalda, die er – nachdem er Undine quasi verstoßen hatte – zur Frau nahm. Undines Oheim Kühlborn wollte seine verschmähte Nichte rächen, indem er das Paar unter seiner reißenden Flut begrub. Friedrich Wilhelm wählte den Moment, in dem die beiden samt ihres Wagens in die Fluten stürzen. Der Kronprinz hielt sich dicht an die literarische Vorlage: ""[...] der Wagen blieb nicht Wagen mehr, die Schimmel nicht Schimmel; alles verschäumte, verrann in zischenden Wogen, und selbst der Fuhrmann [Kühlborn, C. H.] bäumte sich als eine riesige Welle empor [...] und wuchs über den Häuptern des schwimmenden Paares zu einem feuchten Turme an und wollte sie eben rettungslos begraben. – Da scholl Undines anmutige Stimme durch das Getöse hin, der Mond trat aus den Wolken und mit ihm ward Undine auf den Höhen des Talgrundes sichtbar. Sie schalt, sie drohte in die Fluten hinab, die drohende Turmeswoge verschwand [...]."" Mit seiner Darstellung des Kühlborn orientierte sich Friedrich Wilhelm an dem Bühnenbild, das Schinkel für die von E. T. A. Hoffmann komponierte und 1816 in Berlin sehr erfolgreich aufgeführte Undine-Oper entworfen hatte (Riemer 1971. – Harten 2001). (C. H.)",Undine,"Hasenclever, Catharina: Gotisches Mittelalter und Gottesgnadentum in den Zeichnungen Friedrich Wilhelms IV. Herrschaftslegitimierung zwischen Revolution und Restauration, Berlin 2005 (Quellen und Forschungen zur brandenburgischen und preußischen Geschichte, 30)., S. 54","sachlich: Literaturadaption: Fouqué: Undine: Berthalda; sachlich: Literaturadaption: Fouqué: Undine: Huldbrand; sachlich: Literaturadaption: Fouqué: Undine: Kühlborn; sachlich: Literaturadaption: Fouqué: Undine: Undine","812; 813; 814; 815",88381
88374,"GK II (12) IX-B-30",Vergépapier,,3280,2030,,"um 1810/1820",1815,"Ein junger Edelmann spielt Laute. Über einem blauen Unterkleid trägt er eine gelb-rote Jacke und eine hermelinbesetzte lange Weste. Seinen Kopf ziert ein roter Filzhut mit bunten Straußenfedern.","In dieser Zeichnung des Kronprinzen vermischen sich (wie in den meisten Darstellungen von Königen und Rittern) persönliche Wunschvorstellungen mit politischen Ambitionen. Der Hermelinbesatz des Gewandesl weist auf einen als Minnesänger dargestellten Kurfürsten oder König hin. Sehr ungewöhnlich ist die vollständige Kolorierung der Zeichnung. (C. H.)",,"Hasenclever, Catharina: Gotisches Mittelalter und Gottesgnadentum in den Zeichnungen Friedrich Wilhelms IV. Herrschaftslegitimierung zwischen Revolution und Restauration, Berlin 2005 (Quellen und Forschungen zur brandenburgischen und preußischen Geschichte, 30)., S. 322","sachlich: Figurendarstellung: profan: Ritter; sachlich: Kunsthandwerk: Musikinstrument: Laute","733; 780",
88375,"GK II (12) IX-B-39",Vergépapier,"Fragment: Kartusche mit Horn, ""D & CBlauw""",1840,2290,"Spätere Bezeichnung von Johannes Sievers (?).","um 1810/1820",1815,"Zwei gerüstete und bewaffnete Ritter stehen links drei weiblichen Figuren in langen Gewändern mit fratzenartigen Gesichtern rechts gegenüber; rechts am Boden winden sich Schlangen.","Friedrich Wilhelm (IV.) zeigt hier einen sehr selbstbewussten Macbeth [?], der gemäß der Vorgabe Shakespeares in Begleitung seines Gefährten Banquo erscheint. Beide erhalten ihre schicksalsträchtigen Prophezeiungen von den drei entstellten Hexen. Im Hintergrund gibt die Zeichnung einen Hinweis auf die unmittelbar zuvor gewonnene Schlacht. Macbeth wird hier noch positiv in der Rolle des jungen Kämpfers mit Rüstung, Schild und Helm dargestellt, der die Rebellion gegen den König niedergeschlagen hat. Dieser Held tritt den Hexen aufrecht und stolz entgegen. Die Schlangen als Boten der dunklen Mächte bleiben im Hintergrund [vgl. GK II (12) IX-B-40]. (C. H.)",,"Hasenclever, Catharina: Gotisches Mittelalter und Gottesgnadentum in den Zeichnungen Friedrich Wilhelms IV. Herrschaftslegitimierung zwischen Revolution und Restauration, Berlin 2005 (Quellen und Forschungen zur brandenburgischen und preußischen Geschichte, 30)., S. 255","sachlich: Literaturadaption: Shakespeare: Macbeth: Banquo; sachlich: Literaturadaption: Shakespeare: Macbeth: Macbeth","842; 843",88378
88378,"GK II (12) IX-B-40",Vergépapier,"Vergépapier; Fragment: Kartusche mit Horn, ""D & CBlauw"".",1840,2290,"""Makbeth"" (Friedrich Wilhelm [IV.]).","um 1810/1820",1815,"Unter einem Gewölbe steht links ein junger, mit einem Schwert bewaffneter Krieger, der vor drei wilden Furien rechts zurückweicht. Flammen, Qualm, Schlangen und Totenköpfe füllen die Seite nahezu aus.","Die Szene zeigt eine Illustration zum Beginn des IV. Aktes von Shakespeares Macbeth. Der Kronprinz verknüpft das Geschehen der ersten beiden Szenen. Im Hintergrund ist Hecate zu erkennen, die den Hexen befiehlt, um den Kessel zu tanzen. Erst danach erscheint Macbeth in der Hexenküche. Hier steigert Friedrich Wilhelm in der Synthese die Dramatik mit einer gewissen Lust am Schandhaften. (J. M.)",,"Hasenclever, Catharina: Gotisches Mittelalter und Gottesgnadentum in den Zeichnungen Friedrich Wilhelms IV. Herrschaftslegitimierung zwischen Revolution und Restauration, Berlin 2005 (Quellen und Forschungen zur brandenburgischen und preußischen Geschichte, 30)., S. 256. 
""Unglaublich ist sein Genie fürs Zeichnen"". König Friedrich Wilhelm IV. von Preußen (1795-1861) zum 150. Todestag, hrsg. v. Jörg Meiner, Ausstellung, Potsdam, SPSG, 2011, Potsdam, 2011., S. 111 f., Kat. Nr. II. 14","sachlich: Literaturadaption: Shakespeare: Macbeth: Macbeth",843,88375
88379,"GK II (12) IX-B-41",Vergépapier," ""Schottler""",1840,2080,,"um 1810/1830",1820,"Vor einem gotischen Maßwerkfenster sitzt am Schreibtisch ein bärtiger alter Mann, der eine Trinkschale an den Mund führt. Über den Raum sind allerlei wissenschaftliche Instrumente verteilt. Außerhalb des Raumes ist durch die Fenster hindurch eine Kirche im gotisierenden Stil angedeutet.","Die Seite zeigt eine Szene aus Goethes ""Faust"". Der Gegenstand des ewigen Kampfes zwischen Gott und dem Teufel, zwischen Glaube und Wissen und im übertragenen Sinne zwischen Restauration und Aufklärung hat auch Friedrich Wilhelm (IV.) am Faust [?] beschäftigt. Diese Darstellung entspricht Goethes literarischer Vorgabe: Der Tragödie erster Teil : ""Nacht. In einem hochgewölbten, engen, gotischen Zimmer Faust unruhig auf seinem Sessel am Pulte."" Faust, ""von der Nichtigkeit der menschlichen Erkenntnis überwältigt, will alle Schranken kühn durchbrechen, die ihn vom reinen Geisterleben trennen. Er setzt die Giftphiole an den Mund."" Der Kronprinz hat genau diesen zentralen Augenblick ausgewählt, in dem Faust bereit ist, den gotteslästerlichen Handel mit Mephisto einzugehen. Der Gelehrte befindet sich noch in christlicher Umgebung, und doch ist er bereit, mit seinem Leben abzuschließen. Das Buch der magischen (heidnischen) Zaubersprüche ist bereits aufgeschlagen, aber noch deutet das Kruzifix auf seinem Schreibtisch auf seine christlichen Wurzeln. Es gelang Friedrich Wilhelm jedoch nicht, die Spannung der Szene, den Widerstreit der Kräfte auch zeichnerisch umzusetzen. Ganz ruhig und aufrecht sitzt Faust in seinem Lehnstuhl. Vom inneren Kampf ist nicht spürbar. Kompositorisch dürfte die Zeichnung des Kronprinzen von zeitgenössischen Darstellungen der Szene beeinflusst sein, wie etwa auf einem Gemälde von Georg Friedrich Kersting (1829, Abb. in: Hannelore Gärtner: Georg Friedrich Kersting, Leipzig 1988, Abb. 100). (C. H.)",Faust,"Hasenclever, Catharina: Gotisches Mittelalter und Gottesgnadentum in den Zeichnungen Friedrich Wilhelms IV. Herrschaftslegitimierung zwischen Revolution und Restauration, Berlin 2005 (Quellen und Forschungen zur brandenburgischen und preußischen Geschichte, 30)., S. 257","sachlich: Literaturadaption: Goethe: Faust: Faust",830,
88381,"GK II (12) IX-B-42",Vergépapier,"Adler mit Krone, Apfel und Zepter und ""R""",1700,2400,,"um 1811/1815",1813,"in einer einfachen Holzhütte sitzen ein älteres Paar und ein junger Mann. Eine junge Frau öffnet einem weiteren Mann die Haustür. Einziger Schmuck der spärlich möblierten Hütte ist ein Kreuz.","1811 veröffentlichte Friedrich de La Motte Fouqué die Erzählung ""Undine"" [?]. Die 'zauberhafte' Meerjungfrau, die als Findelkind von einem armen Fischerpaar als deren Tochter aufgezogen wurde, verliebte sich in den Ritter Huldbrand, der nach einem Unwetter in der Fischerhütte auftauchte. Diese Zeichnung zeigt die karge Stube der Fischerfamilie mit den alten Eltern Undines, dem Ritter und Undine, die gerade einem nächtlich anklopfenden Priester die Tür öffnet. Auch ihn hat das Unwetter in die alte Fischerhütte verschlagen. Mit schnellen Strichen skizzierte der Kronprinz die Szene nach Fouqués Vorlage: ""[...] Undine hatte bei diesen Worten die Tür bereits geöffnet und leuchtete mit einer Ampel in die stürmische Nacht hinaus, so daß man draußen einen alten Priester wahrnahm, der von dem unverhofften Anblicke des wunderschönen Mägdeleins erschreckt zurücktrat [...]"". Friedrich Wilhelms Skizze zeigt diesen Moment des Erschreckens auf dem Gesicht des noch halb im Dunkeln stehenden Priesters. Die leichtfüßige Undine hält ihm die Öllampe vor das Gesicht. In der Stube sitzt ihre Mutter, wie in der Erzählung kurz zuvor beschrieben, in einem Lehnstuhl, und Undines kleines Bänkchen, auf dem sie gerade noch zu Füßen des Ritters gesessen hatte, steht nun leer daneben. Zum Zeichen der Gottesgläubigkeit der Familie hängt als einziger Schmuck in der Stube ein Kreuz zwischen den Fenstern, genau über dem heldenhaften Ritter Huldbrand von Ringstetten. Derart hat Friedrich Wilhelm (IV.) den christlichen Charakter des Ritters hervorgehoben [vgl. GK II (12) IX-B-90 und GK II (12) IX-B-5]. (C. H.)",Undine,"Hasenclever, Catharina: Gotisches Mittelalter und Gottesgnadentum in den Zeichnungen Friedrich Wilhelms IV. Herrschaftslegitimierung zwischen Revolution und Restauration, Berlin 2005 (Quellen und Forschungen zur brandenburgischen und preußischen Geschichte, 30)., S. 245","sachlich: Figurendarstellung: religiös: Mönch; sachlich: Literaturadaption: Fouqué: Undine: Huldbrand; sachlich: Literaturadaption: Fouqué: Undine: Undine","745; 813; 815","88403; 88371"
88382,"GK II (12) II-1-Cg-4",Velinpapier,,2170,3540,,"Ende 1825/Anfang 1826",1825,"Perspektivische, bildmäßig gerahmte Ansicht des Schlosses Charlottenhof mit Portikus und der aufgeböschten Terrasse im Osten und Garten auf der Westseite des Gebäudes. Im Hintergrund Gehölzgruppen. Seitlich der Exedra zwei liegende Bildwerke skizziert. Der Garten auf der Westseite ist mit Rasenflächen und Gehölzgruppen geplant. Die Wege zum Portikus und dem Eingang sind skizziert. – O. r. großer Schnörkel.","Die Ansicht Charlottenhofs [?] ist verwandt mit derjenigen auf GK II (12) II-1-Cg-3. Zur Grundstruktur der Terrasse mit der ausgeführten Pergola und der Exedra kommt als neues Gestaltungselement die mittige Schalenfontäne. Das Gebäude auf der Nordseite wird hier noch ohne halbrunden Anbau wiedergegeben, die Zeichnung ist deshalb noch in die frühe Entwurfsphase einzuordnen. (A. A.)",Charlottenhof,"Börsch-Supan, Eva: Der andere Kronprinz. Friedrich Wilhelm IV. von Preußen und die Architektur, in: König Ludwig I. von Bayern und Leo von Klenze. Symposion aus Anlaß des 75. Geburtstages von Hubert Glaser, hrsg. v. Franziska Dunkel / Hans-Michael Körner / Hannelore Putz, München 2006, S. 105-117., S. 112","topographisch: Potsdam: Park Sanssouci: Profanbauten: Charlottenhof: Schloss",323,
